feature,gini_importance
danceability,0.16126221551037767
energy,0.04116912647949225
loudness,0.03742044057483126
acousticness,0.04374372561248068
speechiness,0.4386883350165239
instrumentalness,0.044457905204173635
liveness,0.043040990968897665
valence,0.043697615836819685
tempo,0.05887208570251365
duration_ms,0.04999815887044684
key_A,0.0022605426950621805
key_Ab,0.00158519818050631
key_B,0.0029143516790501043
key_Bb,0.0021869059583462355
key_C,0.0020039280601548137
key_D,0.0012007702795852314
key_Db,0.007609986971919271
key_E,0.0017406006684002639
key_Eb,0.00022424871493119264
key_F,0.002105020739306749
key_G,0.001772217981103477
key_Gb,0.0015769296718299965
mode_major,0.01046869862324679
